
[MarioAI] ~ Evaluation Results: Evaluation lasted: 177062 ms; Status: Loss; Mode: small;  Passed (Cells): 242;  Passed (Phys): 3879; Time Spent: 166; Time Left: 33; Coins: 109; Hidden blocks: 0; Mushrooms: 2; Flowers: 1; Collisions: 4; kills: 29; By Fire: 1; By Shell: 0; By Stomp: 28; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 3335 ms; Status: Loss; Mode: small;  Passed (Cells): 7;  Passed (Phys): 125; Time Spent: 3; Time Left: 196; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 148033 ms; Status: WIN!; Mode: small;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 139; Time Left: 61; Coins: 108; Hidden blocks: 0; Mushrooms: 2; Flowers: 1; Collisions: 3; kills: 31; By Fire: 9; By Shell: 0; By Stomp: 22; MEMO INFO: WIN;  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 138734 ms; Status: WIN!; Mode: Large;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 130; Time Left: 69; Coins: 119; Hidden blocks: 0; Mushrooms: 1; Flowers: 1; Collisions: 1; kills: 38; By Fire: 1; By Shell: 0; By Stomp: 37; MEMO INFO: WIN;  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 20303 ms; Status: Loss; Mode: small;  Passed (Cells): 42;  Passed (Phys): 683; Time Spent: 19; Time Left: 180; Coins: 4; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 6; By Fire: 0; By Shell: 0; By Stomp: 6; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 2

[MarioAI] ~ Evaluation Results: Evaluation lasted: 25843 ms; Status: Loss; Mode: small;  Passed (Cells): 46;  Passed (Phys): 749; Time Spent: 24; Time Left: 175; Coins: 4; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 6; By Fire: 0; By Shell: 0; By Stomp: 6; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 2
