
[MarioAI] ~ Evaluation Results: Evaluation lasted: 126051 ms; Status: Loss; Mode: small;  Passed (Cells): 149;  Passed (Phys): 2388; Time Spent: 152; Time Left: 47; Coins: 71; Hidden blocks: 0; Mushrooms: 1; Flowers: 1; Collisions: 3; kills: 15; By Fire: 3; By Shell: 0; By Stomp: 12; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 73533 ms; Status: Loss; Mode: small;  Passed (Cells): 132;  Passed (Phys): 2119; Time Spent: 89; Time Left: 110; Coins: 50; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 10; By Fire: 0; By Shell: 0; By Stomp: 10; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 94929 ms; Status: Loss; Mode: small;  Passed (Cells): 165;  Passed (Phys): 2650; Time Spent: 115; Time Left: 84; Coins: 71; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 11; By Fire: 0; By Shell: 0; By Stomp: 11; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 8745 ms; Status: Loss; Mode: small;  Passed (Cells): 37;  Passed (Phys): 604; Time Spent: 10; Time Left: 189; Coins: 12; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4345 ms; Status: Loss; Mode: small;  Passed (Cells): 21;  Passed (Phys): 345; Time Spent: 5; Time Left: 194; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 18534 ms; Status: Loss; Mode: small;  Passed (Cells): 58;  Passed (Phys): 930; Time Spent: 22; Time Left: 177; Coins: 27; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 2088 ms; Status: Loss; Mode: small;  Passed (Cells): 8;  Passed (Phys): 139; Time Spent: 2; Time Left: 197; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 6653 ms; Status: Loss; Mode: small;  Passed (Cells): 21;  Passed (Phys): 349; Time Spent: 8; Time Left: 191; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 6213 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 361; Time Spent: 7; Time Left: 192; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 6489 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 356; Time Spent: 7; Time Left: 192; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5334 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 358; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 2418 ms; Status: Loss; Mode: small;  Passed (Cells): 7;  Passed (Phys): 127; Time Spent: 3; Time Left: 197; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5443 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 363; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 2032 ms; Status: Loss; Mode: small;  Passed (Cells): 8;  Passed (Phys): 142; Time Spent: 2; Time Left: 197; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 60940 ms; Status: Loss; Mode: small;  Passed (Cells): 130;  Passed (Phys): 2092; Time Spent: 73; Time Left: 126; Coins: 56; Hidden blocks: 0; Mushrooms: 2; Flowers: 0; Collisions: 3; kills: 15; By Fire: 0; By Shell: 0; By Stomp: 15; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5169 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 360; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5060 ms; Status: Loss; Mode: small;  Passed (Cells): 21;  Passed (Phys): 350; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

