
[MarioAI] ~ Evaluation Results: Evaluation lasted: 17386 ms; Status: Loss; Mode: small;  Passed (Cells): 69;  Passed (Phys): 1116; Time Spent: 21; Time Left: 178; Coins: 20; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 7368 ms; Status: Loss; Mode: small;  Passed (Cells): 35;  Passed (Phys): 569; Time Spent: 9; Time Left: 191; Coins: 5; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 18044 ms; Status: Loss; Mode: small;  Passed (Cells): 79;  Passed (Phys): 1275; Time Spent: 22; Time Left: 178; Coins: 28; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 6; By Fire: 0; By Shell: 0; By Stomp: 6; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 19262 ms; Status: Loss; Mode: small;  Passed (Cells): 99;  Passed (Phys): 1593; Time Spent: 23; Time Left: 176; Coins: 41; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 56154 ms; Status: Loss; Mode: small;  Passed (Cells): 215;  Passed (Phys): 3453; Time Spent: 68; Time Left: 131; Coins: 89; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 12; By Fire: 0; By Shell: 0; By Stomp: 12; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 22767 ms; Status: Loss; Mode: small;  Passed (Cells): 98;  Passed (Phys): 1582; Time Spent: 27; Time Left: 172; Coins: 35; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 20678 ms; Status: Loss; Mode: small;  Passed (Cells): 98;  Passed (Phys): 1582; Time Spent: 25; Time Left: 174; Coins: 42; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 9; By Fire: 0; By Shell: 0; By Stomp: 9; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 22657 ms; Status: Loss; Mode: small;  Passed (Cells): 98;  Passed (Phys): 1581; Time Spent: 27; Time Left: 172; Coins: 41; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 8; By Fire: 0; By Shell: 0; By Stomp: 8; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 57473 ms; Status: Loss; Mode: small;  Passed (Cells): 174;  Passed (Phys): 2798; Time Spent: 69; Time Left: 130; Coins: 83; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 14; By Fire: 0; By Shell: 0; By Stomp: 14; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5382 ms; Status: Loss; Mode: small;  Passed (Cells): 38;  Passed (Phys): 608; Time Spent: 6; Time Left: 193; Coins: 3; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 20073 ms; Status: Loss; Mode: small;  Passed (Cells): 98;  Passed (Phys): 1579; Time Spent: 24; Time Left: 175; Coins: 37; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 2584 ms; Status: Loss; Mode: small;  Passed (Cells): 13;  Passed (Phys): 218; Time Spent: 3; Time Left: 196; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 25409 ms; Status: Loss; Mode: small;  Passed (Cells): 99;  Passed (Phys): 1593; Time Spent: 30; Time Left: 169; Coins: 37; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 10; By Fire: 0; By Shell: 0; By Stomp: 10; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 30026 ms; Status: Loss; Mode: small;  Passed (Cells): 99;  Passed (Phys): 1595; Time Spent: 36; Time Left: 163; Coins: 45; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 9; By Fire: 0; By Shell: 0; By Stomp: 9; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 35198 ms; Status: Loss; Mode: small;  Passed (Cells): 134;  Passed (Phys): 2158; Time Spent: 42; Time Left: 157; Coins: 63; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 13; By Fire: 0; By Shell: 0; By Stomp: 13; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 45813 ms; Status: Loss; Mode: small;  Passed (Cells): 216;  Passed (Phys): 3469; Time Spent: 55; Time Left: 144; Coins: 102; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 20; By Fire: 0; By Shell: 0; By Stomp: 20; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 22165 ms; Status: Loss; Mode: small;  Passed (Cells): 99;  Passed (Phys): 1585; Time Spent: 26; Time Left: 173; Coins: 33; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 8; By Fire: 0; By Shell: 0; By Stomp: 8; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 3737 ms; Status: Loss; Mode: small;  Passed (Cells): 24;  Passed (Phys): 389; Time Spent: 4; Time Left: 195; Coins: 4; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 7698 ms; Status: Loss; Mode: small;  Passed (Cells): 35;  Passed (Phys): 569; Time Spent: 9; Time Left: 190; Coins: 8; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 34374 ms; Status: Loss; Mode: small;  Passed (Cells): 162;  Passed (Phys): 2592; Time Spent: 41; Time Left: 158; Coins: 79; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 23264 ms; Status: Loss; Mode: small;  Passed (Cells): 96;  Passed (Phys): 1541; Time Spent: 28; Time Left: 171; Coins: 34; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 56924 ms; Status: WIN!; Mode: small;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 69; Time Left: 131; Coins: 116; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 0; kills: 18; By Fire: 0; By Shell: 0; By Stomp: 18; MEMO INFO: WIN;  level: 7

[MarioAI] ~ Evaluation Results: Evaluation lasted: 13256 ms; Status: Loss; Mode: small;  Passed (Cells): 68;  Passed (Phys): 1097; Time Spent: 16; Time Left: 183; Coins: 33; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 2420 ms; Status: Loss; Mode: small;  Passed (Cells): 14;  Passed (Phys): 228; Time Spent: 3; Time Left: 197; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5939 ms; Status: Loss; Mode: small;  Passed (Cells): 33;  Passed (Phys): 530; Time Spent: 7; Time Left: 192; Coins: 9; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164999 ms; Status: Loss; Mode: Large;  Passed (Cells): 47;  Passed (Phys): 760; Time Spent: 200; Time Left: 0; Coins: 11; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 0; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 13529 ms; Status: Loss; Mode: small;  Passed (Cells): 46;  Passed (Phys): 745; Time Spent: 16; Time Left: 183; Coins: 17; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 10446 ms; Status: Loss; Mode: small;  Passed (Cells): 45;  Passed (Phys): 735; Time Spent: 12; Time Left: 187; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

